"Blank Pilot Stage","= SP conversion / UR2 = Gacha = Duplicates = SR / R scouted pilot Restriction","Ships","Team 1 Unit 1","Unit 2","Unit 3","Unit 4","Unit 5","","Team 2 Unit 6","Unit 7","Unit 8","Unit 9","Unit 10","","Pre-requisite Mods","Video"
"","Operation Meteor","SR Protag","Odel Barnet","","","","","","","UR Preventer Wind","","","UR Heero","","",""
"","W","22% Unstoppable","Wing EW","Sandrock Custom EW","SSR Wing Zero EW","Wing Zero","Sandrock EW Armadillo","","Heavyarms Custom EW","Altron EW (SP)","Wing Zero","Deathscythe Hell (EW) (SP)","Altron","","Ex 15, 16, 24, Tower","https://youtu.be/v3SK1PENiNA?si=y25VVYcjO2D5l5lk"
"","Operation Meteor","25% W","SSR Heero","","","","UR Relena","","","UR Duo","","SSR Quatre","","","",""
"23","00","SR Alternate Series","Cherudim GNHW/R","SSR 00 Final Battle (SP)","Seravee GNHW/B","Arios GNHW/M","GN Arms Type-D","","SSR Dynames (SP)","00 Raiser","Exia [Trans-Am]","GN Arms Type-E","0 Gundam Full Armor","","Ex 9, 11, 15, 16, Tower","https://www.bilibili.com/video/BV1zbDDBPEKB/?share_source=copy_web"
"","Celestial Being","22% Shippujinrai","","","","","","","SSR Lockon Stratos (SP)","","SSR Michael","","","","",""
"","00","22% Aerial Use","SSR Throne Eins Turbulenz","GN Arms Type-E","Cherudim GNHW/R","Arios Gundam (SP)","Arios GNHW/M","","00 Raiser","SSR 00 Final Battle (SP)","Seravee GNHW/B","0 Gundam Full Armor","SR Exia","","Ex 2, 11, 16, Tower","https://www.bilibili.com/video/BV169DGBaEyb/?share_source=copy_web"
"","Celestial Being","22% Unstoppable","","","","","","","","","","","","","",""
"24","Gundam","SR Alternate Series","SR Freedom","SR Astaroth","SR Freedom (SP)","SR Freedom","Wing Proto Zero EW","","Hyaku Shiki Kai","Sandrock Custom","SR GP02A","Nu MP (Incom)","Nu MP (Funnel)","","Ex 2, 3","https://youtu.be/CEMbGS8uZR4?si=xMoEuMZcxatRxz8a"
"","SR + Protag","22% Tough as Nails","Lane Aim","Sampo Hakuri","SSR Kou Uraki","","Shuji Ito","","Amate (MACHU)","SSR Quatre","SSR Anavel Gato","SSR Hathaway","SSR Lowe","","",""
"","Gundam","22% Unstoppable","GP03 Stamen (SP)","Exia Repair II","Aerial (Mirasoul)","SR AGE-1 Normal","Dreadnought Gundam","","Wing Proto Zero EW (SP)","SR Freedom (SP)","Wing Gundam","Blast Impulse","00 Gundam","","Ex 3, 11, 18, 22","https://youtu.be/KKIiHCtlWvk?si=PxotlTc05gI_P_xK"
"","SR + Protag","SR Protag","UR Support Shinn","Amate (MACHU)","SSR Lane Aim","SSR Yuu Kajima","Prayer Reverie","","SSR Quatre","UR Support Kira","SSR Heero","UR Support Amuro","Christina Mackenzie","","",""
"","Gundam","SR Rival","SSR Virsago Chest Break","Altron EW","Alyzeus","NT-1 Chobham","SSR Kimaris Vidar","","SSR Banshee Norn","Infinite Justice","Infinite Justice Meteor","Ashtaron Hermit Crab","SSR Penelope","","Ex 3, Tower","https://youtu.be/I0CIr5NMOlc?si=1APGgjPsmq_YrMDE"
"","Rival","22% Tough as Nails","SSR Shiro Amada","Lane Aim","Prayer Reverie","SSR Anavel Gato","","","Sampo Hakuri","Wistario Afam","","","SSR Hathaway","","",""
"25","Narrative","SR U.C. Series","Narrative B-Packs","SSR Phenex (Destroy) (SP)","Phenex (Unicorn)","SSR Narrative C-Packs (Awakened)","SSR Narrative A-Packs","","II Neo Zeong","Jesta (Shezarr Type)","Sinanju Stein","SR Narrative C-Packs","Silver Bullet Suppressor","","Ex 11, 13, 16","https://youtu.be/I8BuLd9B4UQ?si=anGawqcrB72J_mP2"
"","","22% Shippujinrai","","","","","","","","","","","","","",""
"","Narrative","14% EFSF","Phenex (Unicorn)","SSR Narrative C-Packs (Awakened)","SR Narrative C-Packs","SSR Narrative A-Packs (SP)","SR Narrative C-Packs","","SSR Phenex (Destroy) (SP)","SR Narrative C-Packs","Narrative B-Packs","SR Narrative C-Packs","SR Narrative C-Packs","","Ex 11, 13","https://www.bilibili.com/video/BV1BsRrBUEuw/?share_source=copy_web"
"","NT-D","SR U.C. Series","","","","","","","","","","","","","",""
"26","Underwater Use","22% Shippujinrai","Grublo (SP)","Acguy Heavy Firepower Type","Gogg (Thunderbolt)","Shamblo","Acguy","","Acguy Recon Type","Guncannon Aqua","SSR Atlas","Zee Zulu","Abyss Gundam","","Ex 3, 7, 13, 15, 16","https://youtu.be/ozbSsXpiMM0?si=u5NOLVkCyuCZha3j"
"","","18% MSG","Monique Cadillac (SP)","Ortega (GQ)","Deux Murasame","SSR Anavel Gato","Herbert Von Kuspen","","Sampo Hakuri","Bianca Carlyle","SSR Lane Aim","SSR Defend Daryl","Kelley Layzner","","",""
"","Underwater Use","22% Tough as Nails","Grublo","Shamblo","ZnO","Mermaid Gundam","Abyss Gundam","","Guncannon Aqua (SP)","Zee Zulu","SSR Atlas","Acguy Firepower Type B","Acguy Recon Type","","N/A","https://youtu.be/mxcyJHl-8WE?si=UPUw9yqnOhWp3pM4"
"","","18% MSG","SSR Ramba Ral (SP)","SSR Andrew (Seed) (SP)","Sampo Hakuri","SSR Defend Daryl","SSR Yuu Kajima","","Bianca Carlyle","Christina Mackenzie","UR Support Kira","SSR Anavel Gato","Herbert Von Kuspen","","",""
"27","F91","SR U.C. Series","Gundam F90 II L Type","Berga-Giros (Enhanced Armament)","F80 Gunraid","Grand Zam","SSR F91","","SSR F90 A.D.S. Type","","Rafflesia","F90 (Mars Zeon)","SSR Vigna-Zirah","","Ex 1, 9, 11, 15, 16","https://youtu.be/NS2Kg7qg27A?si=HTZf0Xjja2iaYkri"
"","","22% Unstoppable","","","","","","","","","","","","","",""
"","F91","SR U.C. Series","Berga-Giros (Enhanced Armament)","F80 Gunraid","Grand Zam","SSR F91","Vigna-Ghina","","F90 (Mars Zeon)","SSR F90 A.D.S. Type (SP)","Gundam F90 II L Type","Rafflesia","SSR Vigna-Zirah","","Ex 1, 11, 15, 16, Tower","https://youtu.be/W40nistPgSo?si=eRGIuoc-tKkNDIyO"
"","","14% Tenacious","","","","","","","","SSR Def Stallion","","","","","",""
"28","Lightning Fast","SR U.C. Series","SSR Xi","SSR Nightingale (SP)","Red Gundam (0085)","SSR Char's Zaku (Origin) (SP)","SSR Phenex (Destroy) (SP)","","SSR Zeta","G-Falcon DX (SP)","Stargazer","SSR Tallgeese (SP)","Dantalion T-Booster","","Ex 1, 2, 6","https://youtu.be/IEl2ZYA7SBw?si=lf6-SrGy9Jwd0wyj"
"","","22% Lightning Fast ","Julia Suga","SSR Emeralda Zubin","Shuji Ito","Monique Cadillac","SSR Lalah","","SSR Quattro","SSR Andrew (Seed) (SP)","Selene McGriff","SSR Saki Graham","Sampo Hakuri","","",""
"","Lightning Fast","SR U.C. Series","Attack Hyaku Shiki (SP)","SSR Phenex (Destroy) (SP)","SSR Destiny","UR2 Casval","Red Gundam (0085)","","G-Falcon DX (SP)","SSR Char's Zaku (Origin) (SP)","SSR Xi","SSR Zeta (SP)","SSR Tallgeese (SP)","","Ex 8, 9, 25","https://youtu.be/L43SnS9WewM?si=t7H6gE4nmuAwsfMy"
"","","SR Protag","SSR Amuro (SP)","SSR Zoltan","Kelley Layzner","Monique Cadillac","SSR Lalah","","SSR Kou Uraki","SSR Ramba Ral (SP)","Gigi Andalucia","SSR Quattro","SSR Quatre","","",""
