enum,members,status,website,master,master_fields,master_files,loaded_by_app,master_not_loaded,website_note
TerrainType,7,BOTH,Yes,Yes,"TerrainTypeIndex, RecommendedSortieTerrainTypeIndex, SortieTerrainTypeIndex","m_map_npc_unit_terrain_capability_extension.json, m_stage.json, m_stage_recommended_sortie_terrain_type.json…","m_map_npc_unit_terrain_capability_extension.json, m_stage.json…","m_terrain_capability_correction.json, m_terrain_motif.json","terrain labels"
TowerEventStageType,4,BOTH,Yes,Yes,"TowerEventStageTypeIndex","m_tower_event_stage.json","m_tower_event_stage.json","-","tower event"
TowerEventTabType,5,MASTER_ONLY,No,Yes,"TowerEventTabTypeIndex","m_tower_event_stage_strategy_info.json","-","m_tower_event_stage_strategy_info.json",""
TraitActionTimingType,22,UNUSED,No,No,"-","-","-","-",""
TraitConditionAllyType,3,UNUSED,No,No,"-","-","-","-",""
TraitConditionAreaType,4,UNUSED,No,No,"-","-","-","-",""
TraitConditionGroupType,2,UNUSED,No,No,"-","-","-","-",""
TraitConditionHpType,5,UNUSED,No,No,"-","-","-","-",""
TraitConditionLeaderType,3,UNUSED,No,No,"-","-","-","-",""
TraitConditionMapBattleActionType,9,UNUSED,No,No,"-","-","-","-",""
TraitConditionParticipationType,17,UNUSED,No,No,"-","-","-","-",""
TraitConditionSelfType,3,UNUSED,No,No,"-","-","-","-",""
TraitConditionTargetType,11,UNUSED,No,No,"-","-","-","-",""
TraitType,97,BOTH,Yes,Yes,"TraitTypeIndex, MapWeaponTraitCategoryTypeIndex, MapEventBuffTraitTypeIndex","m_character_skill_trait.json, m_map_event_panel_trait_rule_set_content.json, m_map_event_panel_trait_set_content.json…","m_character_skill_trait.json, m_trait.json…","m_map_event_panel_trait_rule_set_content.json, m_map_event_panel_trait_set_content.json…","name referenced in code"
TransitionType,58,MASTER_ONLY,No,Yes,"TransitionTypeIndex","m_transition.json","-","m_transition.json",""
TreasureChestRarityType,9,BOTH,Yes,Yes,"TreasureChestRarityTypeIndex","m_league_rank_group_content.json, m_league_season_reward_group_content.json","-","m_league_rank_group_content.json, m_league_season_reward_group_content.json","name referenced in code"
UnitAcquisitionRouteType,4,BOTH,Yes,Yes,"UnitAcquisitionRouteTypeIndex","m_unit.json","m_unit.json","-","name referenced in code"
UnitBodyType,4,BOTH,Yes,Yes,"UnitBodyTypeIndex","m_unit.json","m_unit.json","-","name referenced in code"
UnitBromideBesideType,6,UNUSED,No,No,"-","-","-","-",""
UnitBromideHeightType,6,UNUSED,No,No,"-","-","-","-",""
UnitBromideSizeType,4,UNUSED,No,No,"-","-","-","-",""
UnitDataViewBackGroundType,4,UNUSED,No,No,"-","-","-","-",""
UnitDevelopmentRouteRuleVertexOffsetType,10,UNUSED,No,No,"-","-","-","-",""
UnitFunctionType,3,UNUSED,No,No,"-","-","-","-",""
UnitLeaveType,3,MASTER_ONLY,No,Yes,"UnitLeaveTypeIndex","m_map_npc_setting.json","-","m_map_npc_setting.json",""
UnitRimLightType,4,UNUSED,No,No,"-","-","-","-",""
UnitSkillMultiTargetType,2,UNUSED,No,No,"-","-","-","-",""
UnitSkillTraitType,7,UNUSED,No,No,"-","-","-","-",""
UnitStandbyType,5,MASTER_ONLY,No,Yes,"UnitStandbyTypeIndex","m_map_event_partner_stage.json, m_map_npc.json","m_map_npc.json","m_map_event_partner_stage.json",""
UnitStatusType,7,BOTH,Yes,Yes,"UnitStatusTypeIndex","m_unit_ssp_custom_core_status_up.json","m_unit_ssp_custom_core_status_up.json","-","name referenced in code"
UnitType,5,BOTH,Yes,Yes,"UnitAcquisitionRouteTypeIndex, GroupUnitTypeIndex, UnitStatusTypeIndex","m_character_skill_trait.json, m_home_unit_style.json, m_map_event_partner_stage.json…","m_character_skill_trait.json, m_map_npc.json…","m_home_unit_style.json, m_map_event_partner_stage.json…","map MANUAL_CHAR_RECOMMEND_UNIT_MAP"
UserRecordType,69,MASTER_ONLY,No,Yes,"UserRecordTypeIndex","m_profile_user_record.json","-","m_profile_user_record.json",""
WarshipCruiseResultType,3,UNUSED,No,No,"-","-","-","-",""
WeaponAttributeType,5,MASTER_ONLY,No,Yes,"WeaponAttributeTypeIndex","m_weapon_attribute_set.json","-","m_weapon_attribute_set.json",""
WeaponEnhanceType,5,BOTH,Yes,Yes,"WeaponEnhanceTypeIndex","m_unit_ssp_custom_core_weapon_enhance_set.json","m_unit_ssp_custom_core_weapon_enhance_set.json","-","name referenced in code"
WeaponTraitType,14,BOTH,Yes,Yes,"WeaponTraitTypeIndex, MapWeaponTraitCategoryTypeIndex","m_weapon.json, m_weapon_trait.json","m_weapon.json, m_weapon_trait.json","-","weapon trait resolution"
WeaponType,4,BOTH,Yes,Yes,"WeaponTypeIndex, MapWeaponTraitCategoryTypeIndex, WeaponEnhanceTypeIndex","m_unit_ssp_custom_core_weapon_enhance_set.json, m_weapon.json, m_weapon_attribute_set.json…","m_unit_ssp_custom_core_weapon_enhance_set.json, m_weapon.json…","m_weapon_attribute_set.json","name referenced in code"
WeaponWorkType,5,MASTER_ONLY,No,Yes,"WeaponWorkTypeIndex","m_weapon.json","m_weapon.json","-",""
